cat,lon,lat
2,-74.16643924,40.59667248
2,-74.16085938,40.59667248
2,-74.15527952000001,40.59667248
2,-74.14969966000001,40.59667248
2,-74.1441198,40.59667248
2,-74.13853994,40.59667248
2,-74.13296008,40.59667248
2,-74.12738022,40.59667248
2,-74.12180036000001,40.59667248
2,-74.1162205,40.59667248
2,-74.11064064,40.59667248
2,-74.10506078,40.59667248
2,-74.09948092,40.59667248
2,-74.09390106000001,40.59667248
2,-74.08832120000001,40.59667248
2,-74.08274134,40.59667248
2,-74.07716148,40.59667248
2,-74.07158162,40.59667248
2,-74.06600176,40.59667248
2,-74.06042190000001,40.59667248
2,-74.1999184,40.59247946
2,-74.19433854,40.59247946
2,-74.18875868,40.59247946
2,-74.18317882000001,40.59247946
2,-74.17759896,40.59247946
2,-74.1720191,40.59247946
2,-74.16643924,40.59247946
2,-74.16085938,40.59247946
2,-74.15527952000001,40.59247946
2,-74.14969966000001,40.59247946
2,-74.1441198,40.59247946
2,-74.13853994,40.59247946
2,-74.13296008,40.59247946
2,-74.12738022,40.59247946
2,-74.12180036000001,40.59247946
2,-74.1162205,40.59247946
2,-74.11064064,40.59247946
2,-74.10506078,40.59247946
2,-74.09948092,40.59247946
2,-74.09390106000001,40.59247946
2,-74.08832120000001,40.59247946
2,-74.08274134,40.59247946
2,-74.07716148,40.59247946
2,-74.07158162,40.59247946
2,-74.06600176,40.59247946
2,-74.1999184,40.588286440000005
2,-74.19433854,40.588286440000005
2,-74.18875868,40.588286440000005
2,-74.18317882000001,40.588286440000005
2,-74.17759896,40.588286440000005
2,-74.1720191,40.588286440000005
2,-74.16643924,40.588286440000005
2,-74.16085938,40.588286440000005
2,-74.15527952000001,40.588286440000005
1,-74.14969966000001,40.588286440000005
2,-74.1441198,40.588286440000005
2,-74.13853994,40.588286440000005
2,-74.13296008,40.588286440000005
2,-74.12738022,40.588286440000005
2,-74.12180036000001,40.588286440000005
2,-74.1162205,40.588286440000005
2,-74.11064064,40.588286440000005
2,-74.10506078,40.588286440000005
2,-74.09948092,40.588286440000005
0,-74.09390106000001,40.588286440000005
2,-74.08832120000001,40.588286440000005
2,-74.08274134,40.588286440000005
4,-74.07716148,40.588286440000005
2,-74.07158162,40.588286440000005
1,-74.06600176,40.588286440000005
2,-74.1999184,40.58409342
2,-74.19433854,40.58409342
2,-74.18875868,40.58409342
2,-74.18317882000001,40.58409342
2,-74.17759896,40.58409342
